Event Type,Create Time,Close Time,Latitude,Longitude
Baseball game,2012-02-02 01:03:33,2012-06-03 11:30:00,40.75,-73.84
Concert,2012-01-09 12:53:31,2012-08-04 11:18:00,40.81,-74.06
Concert,2012-01-09 12:50:39,2012-03-24 11:18:00,40.81,-74.06
Circus,2012-01-09 12:46:57,2012-03-18 10:00:00,40.81,-74.06
Concert,2012-01-09 12:38:06,2012-02-01 11:18:00,40.81,-74.06
Show,2012-01-05 10:19:51,2012-10-06 10:48:00,40.75,-73.98
Concert,2012-01-05 10:18:23,2012-05-30 11:18:00,40.78,-73.98
Concert,2012-01-05 10:17:08,2012-05-05 11:18:00,40.78,-73.98
Concert,2012-01-05 10:15:55,2012-05-04 10:47:00,40.75,-73.98
Show,2012-01-05 10:14:39,2012-04-21 09:47:00,40.75,-73.98
Concert,2012-01-05 10:12:28,2012-04-20 11:18:00,40.78,-73.98
Show,2012-01-05 10:10:55,2012-04-14 10:49:00,40.75,-73.98
Show,2012-01-05 10:09:00,2012-04-18 10:18:00,40.78,-73.98
Kids show/performance,2012-01-05 10:05:45,2012-04-10 05:48:00,40.74,-73.98
Concert,2012-01-05 10:00:08,2012-04-03 10:18:00,40.78,-73.98
Basketball game,2012-01-05 09:58:07,2012-03-29 10:17:00,40.75,-73.98
Show,2012-01-05 09:55:20,2012-03-23 10:18:00,40.78,-73.98
Concert,2012-01-05 09:53:38,2012-03-25 10:18:00,40.78,-73.98
Wrestling,2012-01-05 09:48:04,2012-03-18 08:17:00,40.75,-73.98
Concert,2012-01-05 09:46:11,2012-03-11 05:18:00,40.75,-73.98
Concert,2012-01-05 09:44:34,2012-03-09 10:17:00,40.75,-73.98
Show,2012-01-05 09:42:58,2012-03-03 10:50:00,40.74,-73.98
Gymnastics,2012-01-05 09:41:16,2012-03-03 02:47:00,40.75,-73.98
Concert,2012-01-05 09:39:10,2012-02-20 10:47:00,40.75,-73.98
Concert,2012-01-05 09:37:29,2012-02-19 11:17:00,40.78,-73.98
Concert,2012-01-05 09:35:11,2012-02-18 11:17:00,40.78,-73.98
Concert,2012-01-05 09:34:04,2012-02-18 11:17:00,40.75,-73.98
Kids show/performance,2012-01-05 09:32:42,2012-02-26 07:47:00,40.74,-73.98
Kids show/performance,2012-01-05 09:26:57,2012-02-18 07:49:00,40.74,-73.98
Show,2012-01-05 09:18:52,2012-02-14 10:49:00,40.78,-73.98
Concert,2012-01-05 09:17:05,2012-02-11 11:18:00,40.78,-73.98
Concert,2012-01-05 09:15:19,2012-02-14 11:17:00,40.75,-73.98
Concert,2012-01-05 09:12:47,2012-02-04 11:17:00,40.78,-73.98
Concert,2012-01-05 09:10:40,2012-01-28 11:19:00,40.75,-73.98
Concert,2012-01-05 09:09:32,2012-01-28 10:47:00,40.74,-73.98
Track & Field,2012-01-05 09:07:39,2012-01-28 01:17:00,40.75,-73.98
Concert,2012-01-05 09:06:02,2012-01-26 11:18:00,40.75,-73.98
Track & Field,2012-01-05 09:02:48,2012-01-28 10:47:00,40.75,-73.98
Concert,2012-01-05 08:51:56,2012-01-21 11:17:00,40.75,-73.98
Basketball game,2012-01-05 08:50:25,2012-02-25 02:17:00,40.75,-73.98
Basketball game,2012-01-05 08:48:56,2012-02-18 03:17:00,40.75,-73.98
Basketball game,2012-01-05 08:47:33,2012-02-08 11:17:00,40.75,-73.98
Basketball game,2012-01-05 08:46:05,2012-02-04 02:17:00,40.75,-73.98
Basketball game,2012-01-05 08:45:03,2012-01-25 09:17:00,40.75,-73.98
Basketball game,2012-01-05 08:43:37,2012-01-21 03:17:00,40.75,-73.98
Basketball game,2012-01-05 08:42:03,2012-01-15 04:17:00,40.75,-73.98
Show,2012-01-05 08:36:20,2012-04-05 11:18:00,40.75,-73.98
Concert,2012-01-05 08:34:21,2012-03-22 11:18:00,40.75,-73.98
Tennis tournament,2012-01-05 08:32:13,2012-03-05 11:17:00,40.75,-73.98
Concert,2012-01-05 08:29:02,2012-02-26 11:17:00,40.75,-73.98
Basketball game,2012-01-05 08:25:44,2012-02-18 10:47:00,40.75,-73.98
Show,2012-01-05 08:24:02,2012-02-14 11:17:00,40.75,-73.98
Concert,2012-01-05 08:20:45,2012-02-24 11:17:00,40.75,-73.98
Special event,2012-01-05 08:17:14,2012-01-08 03:47:00,40.75,-73.98
Football game,2012-01-03 09:16:54,2012-01-08 04:17:00,40.81,-74.07
